缘	  
鸹	  
鹄	  
鹅	  
鹙	  
氕	  
物	  
秭	  
笏	  
笫	  
舐	  
穄	  
舞	  
鳘	  
先	  
牝	  
秃	  
移	  
稳	  
歃	  
篷	  
笱	  
稠	  
称	  
笊	  
篪	  
氧	  
箪	  
簖	  
毯	  
氮	  
篓	  
秋	  
箭	  
穟	  
氆	  
税	  
穅	  
笠	  
牤	  
簏	  
辞	  
穜	  
篱	  
毓	  
簇	  
牥	  
氦	  
犒	  
稿	  
穰	  
篙	  
怎	  
愁	  
憩	  
秘	  
秾	  
稂	  
犏	  
篇	  
简	  
笯	  
牣	  
委	  
劮	  
氖	  
秀	  
笾	  
笤	  
笳	  
篌	  
签	  
筌	  
筏	  
符	  
筱	  
稚	  
雉	  
稔	  
黍	  
黎	  
答	  
矬	  
搿	  
筋	  
迁	  
迄	  
迕	  
迤	  
迭	  
迮	  
适	  
选	  
透	  
造	  
逶	  
笪	  
氲	  
复	  
智	  
香	  
箬	  
罐	  
簿	  
箔	  
箥	  
濌	  
秫	  
箱	  
梨	  
榘	  
程	  
积	  
告	  
和	  
知	  
稆	  
舌	  
特	  
等	  
稜	  
筠	  
秸	  
牡	  
筀	  
筜	  
秒	  
稍	  
筲	  
筢	  
箨	  
箍	  
箝	  
籀	  
筘	  
掣	  
奚	  
凶	  
爷	  
邠	  
郄	  
郗	  
郛	  
鄱	  
孚	  
爸	  
公	  
受	  
翁	  
翻	  
释	  
乏	  
弑	  
貆	  
豸	  
乎	  
乳	  
爰	  
釜	  
爱	  
谹	  
希	  
頫	  
颁	  
颂	  
肴	  
貊	  
瓮	  
瓻	  
兮	  
豺	  
谼	  
虢	  
爵	  
番	  
盆	  
釉	  
岔	  
觅	  
贫	  
刈	  
刹	  
舀	  
貔	  
貌	  
攽	  
乂	  
入	  
八	  
父	  
爻	  
谿	  
豹	  
鹆	  
鹞	  
鹟	  
舜	  
爹	  
鬯	  
欲	  
欷	  
貉	  
繇	  
彩	  
斧	  
籴	  
忿	  
悉	  
兆	  
妥	  
分	  
貂	  
貅	  
逃	  
遥	  
邈	  
貘	  
汆	  
杀	  
采	  
谷	  
鼗	  
坌	  
危	  
犯	  
犸	  
鲻	  
卿	  
鲫	  
狠	  
觖	  
刍	  
争	  
狒	  
肄	  
包	  
鱾	  
馔	  
鲟	  
鳚	  
猕	  
饲	  
鲪	  
卬	  
卯	  
印	  
邬	  
邸	  
邹	  
郇	  
卵	  
狃	  
犼	  
色	  
鲃	  
猛	  
猸	  
狲	  
疑	  
凤	  
勾	  
殳	  
鲹	  
鳋	  
狻	  
馂	  
狁	  
猱	  
饴	  
鲐	  
冬	  
然	  
煞	  
鲩	  
夤	  
斛	  
狞	  
狩	  
馆	  
狖	  
鸵	  
丸	  
久	  
么	  
乐	  
兔	  
凡	  
勺	  
匆	  
及	  
夕	  
氐	  
象	  
丹	  
乌	  
册	  
鱼	  
鸟	  
狨	  
鲡	  
狟	  
匐	  
鲾	  
勿	  
用	  
氏	  
甩	  
鲺	  
玺	  
饯	  
狂	  
犴	  
猜	  
鲭	  
祭	  
鲅	  
夙	  
犹	  
鱿	  
狉	  
猗	  
觭	  
颍	  
颖	  
鲕	  
獗	  
鳜	  
鲔	  
獠	  
狘	  
舛	  
饨	  
饶	  
鲢	  
狴	  
鳕	  
狭	  
鲆	  
饽	  
鲰	  
匍	  
觫	  
鲠	  
饵	  
鳔	  
馑	  
鲼	  
馓	  
鲯	  
獭	  
鳓	  
猢	  
猎	  
猪	  
鳍	  
鲽	  
馕	  
鲈	  
鲱	  
猇	  
飐	  
鲇	  
狮	  
奂	  
独	  
猓	  
蚀	  
蟹	  
触	  
备	  
狙	  
狸	  
甸	  
留	  
眢	  
鲖	  
鲤	  
鳢	  
岛	  
狎	  
免	  
龟	  
猥	  
鲴	  
鳏	  
螽	  
馈	  
鲗	  
飓	  
猡	  
鳃	  
狈	  
獕	  
负	  
贸	  
猬	  
猾	  
处	  
外	  
刎	  
删	  
刨	  
剁	  
鲣	  
飕	  
馊	  
鲌	  
凰	  
鳇	  
毈	  
猊	  
鲵	  
鳈	  
饷	  
獯	  
鳤	  
稣	  
饫	  
饿	  
狌	  
饪	  
鲊	  
饦	  
饩	  
饰	  
猁	  
鳅	  
觞	  
饬	  
鳆	  
匈	  
孵	  
鳐	  
风	  
馁	  
狍	  
狰	  
飑	  
饱	  
鲍	  
馋	  
多	  
鸠	  
鸨	  
鸱	  
鸲	  
鸳	  
鹠	  
角	  
馏	  
馅	  
九	  
儿	  
几	  
凫	  
匕	  
够	  
犰	  
饥	  
鱻	  
獬	  
饮	  
鲦	  
狗	  
饹	  
鲷	  
狝	  
鲧	  
饭	  
狐	  
觚	  
彤	  
鲘	  
馐	  
鲜	  
饼	  
鳟	  
觯	  
馗	  
鳞	  
飚	  
灸	  
炙	  
狄	  
鳝	  
鳙	  
袅	  
饻	  
犷	  
狺	  
訄	  
訇	  
詹	  
鳣	  
鲚	  
狡	  
饺	  
鲛	  
獍	  
鲂	  
匀	  
鳑	  
猝	  
獐	  
鲸	  
忽	  
急	  
怨	  
惫	  
狼	  
狱	  
鳊	  
狓	  
皱	  
飏	  
饧	  
解	  
务	  
劬	  
勉	  
猴	  
猃	  
狯	  
狳	  
猞	  
馀	  
鲋	  
雊	  
雏	  
雒	  
雕	  
飧	  
鲶	  
欠	  
饸	  
胤	  
迎	  
迩	  
逄	  
逖	  
逛	  
逢	  
逸	  
遛	  
邂	  
鳎	  
馄	  
鲲	  
鲥	  
鳀	  
馒	  
鳁	  
鳗	  
猩	  
旨	  
旬	  
旭	  
旮	  
昏	  
昝	  
猖	  
鲁	  
鲳	  
獴	  
猫	  
鹱	  
獦	  
馍	  
獾	  
猹	  
馇	  
朵	  
杂	  
条	  
枭	  
桀	  
橥	  
鳄	  
狷	  
句	  
各	  
名	  
咎	  
馌	  
鲮	  
周	  
猿	  
鲒	  
鲑	  
鲿	  
觥	  
尔	  
系	  
卮	  
艉	  
郈	  
爬	  
艋	  
反	  
舵	  
斥	  
爪	  
瓜	  
舟	  
斤	  
甪	  
须	  
颀	  
磐	  
舭	  
舡	  
舾	  
盾	  
质	  
艚	  
舸	  
舻	  
盘	  
舳	  
幋	  
舢	  
舯	  
斶	  
舰	  
艘	  
舶	  
艇	  
瓞	  
舴	  
殷	  
般	  
欣	  
船	  
舨	  
所	  
舣	  
艏	  
舷	  
艟	  
航	  
舫	  
舱	  
艅	  
近	  
返	  
逅	  
遁	  
艨	  
槃	  
后	  
艄	  
兹	  
卷	  
粼	  
煀	  
烬	  
炔	  
弟	  
冁	  
煺	  
焗	  
糨	  
郑	  
郯	  
郸	  
鄯	  
孳	  
炄	  
籽	  
羞	  
粑	  
糈	  
翔	  
翦	  
糁	  
烃	  
羟	  
熠	  
焌	  
羧	  
熥	  
糅	  
煎	  
羔	  
煊	  
烷	  
粽	  
料	  
熔	  
为	  
义	  
兼	  
米	  
烜	  
丫	  
半	  
州	  
羊	  
羌	  
关	  
兰	  
并	  
炜	  
精	  
奠	  
猷	  
獘	  
类	  
美	  
豢	  
弊	  
粝	  
烦	  
羱	  
燎	  
炻	  
煃	  
炼	  
瓶	  
甑	  
炖	  
炬	  
烧	  
粃	  
馘	  
糯	  
尊	  
炳	  
粳	  
差	  
粞	  
酋	  
熛	  
烤	  
灯	  
糒	  
烘	  
粪	  
煳	  
糊	  
糟	  
煤	  
炣	  
焐	  
焯	  
粘	  
蹩	  
烛	  
粿	  
益	  
盖	  
眷	  
着	  
瞥	  
粗	  
粬	  
单	  
灿	  
籼	  
烟	  
羰	  
煨	  
蠲	  
煟	  
炯	  
判	  
剃	  
剡	  
烻	  
粕	  
首	  
煌	  
燠	  
糗	  
养	  
夔	  
煅	  
熄	  
熜	  
烶	  
敉	  
敝	  
数	  
炸	  
羲	  
糙	  
烀	  
煖	  
烯	  
燔	  
爝	  
粉	  
炮	  
羖	  
燃	  
灼	  
烁	  
羑	  
羝	  
鲞	  
鳖	  
鹈	  
鹚	  
鹢	  
鹣	  
烽	  
粦	  
焕	  
熘	  
焰	  
烿	  
欻	  
歉	  
炊	  
糌	  
烙	  
叛	  
炘	  
断	  
焮	  
糍	  
糕	  
烊	  
烂	  
羹	  
焱	  
燚	  
羴	  
炎	  
燧	  
糖	  
糠	  
炆	  
炫	  
炷	  
粒	  
誊	  
熵	  
炕	  
羡	  
粹	  
焙	  
焞	  
熇	  
煽	  
总	  
恙	  
愬	  
慈	  
憋	  
粮	  
炉	  
煸	  
焖	  
姜	  
娄	  
炀	  
券	  
剪	  
炝	  
糇	  
烩	  
烨	  
炌	  
羚	  
火	  
焓	  
前	  
朔	  
迷	  
迸	  
送	  
逆	  
递	  
遂	  
遒	  
道	  
遴	  
遵	  
炟	  
焊	  
焜	  
爆	  
煴	  
熳	  
煋	  
羯	  
煜	  
普	  
曾	  
爟	  
桊	  
槊	  
燊	  
炽	  
兑	  
燥	  
兽	  
善	  
塑	  
灶	  
炒	  
拳	  
冯	  
率	  
辫	  
雍	  
紊	  
縻	  
决	  
庚	  
康	  
庹	  
痕	  
弯	  
氓	  
麛	  
庸	  
廄	  
癜	  
癖	  
瘕	  
遆	  
唐	  
疖	  
疗	  
邙	  
邝	  
邡	  
郊	  
部	  
郭	  
鄌	  
鄣	  
孪	  
疤	  
瘾	  
癃	  
变	  
度	  
燮	  
翊	  
序	  
瘆	  
痉	  
痛	  
瘙	  
竣	  
兖	  
袤	  
廖	  
瘫	  
瘳	  
冶	  
庶	  
烹	  
熟	  
麃	  
应	  
亦	  
六	  
卞	  
文	  
玄	  
衣	  
主	  
立	  
痘	  
产	  
广	  
亡	  
望	  
庑	  
凑	  
瘈	  
斌	  
廒	  
癍	  
瘛	  
靖	  
言	  
竑	  
奕	  
奖	  
就	  
庆	  
庞	  
状	  
疣	  
瘃	  
豪	  
减	  
弃	  
弈	  
痊	  
庵	  
斋	  
颃	  
颏	  
颜	  
颤	  
冽	  
疬	  
痞	  
磨	  
冻	  
瓷	  
瓿	  
痍	  
冱	  
疟	  
疠	  
库	  
庼	  
㽲	  
庇	  
鹿	  
凄	  
痓	  
癗	  
庋	  
病	  
竦	  
辣	  
冮	  
疳	  
症	  
痖	  
酱	  
瘭	  
癫	  
亭	  
疔	  
辛	  
廑	  
癀	  
瘌	  
麒	  
癞	  
凓	  
疴	  
痦	  
敲	  
齑	  
痱	  
疵	  
店	  
站	  
瘰	  
䗪	  
离	  
蛮	  
亩	  
庙	  
畜	  
疽	  
盗	  
盲	  
童	  
冲	  
峦	  
市	  
帝	  
席	  
疝	  
禀	  
痹	  
端	  
痼	  
㿉	  
商	  
廛	  
裔	  
衰	  
衷	  
裹	  
瘿	  
瘸	  
癯	  
脔	  
腐	  
资	  
赓	  
赟	  
癎	  
刘	  
刻	  
剂	  
剖	  
劘	  
瘦	  
魔	  
庾	  
瘐	  
庳	  
麝	  
齐	  
裒	  
瘪	  
旎	  
施	  
旋	  
庭	  
放	  
效	  
敦	  
疾	  
麇	  
痄	  
亳	  
毫	  
疙	  
麾	  
旖	  
旆	  
旗	  
痢	  
旄	  
旌	  
族	  
冼	  
旃	  
旅	  
旞	  
旒	  
痿	  
痴	  
交	  
衮	  
净	  
庖	  
疱	  
凝	  
毅	  
疫	  
疼	  
孰	  
底	  
疚	  
麽	  
鸾	  
鹑	  
鹒	  
鹧	  
鹫	  
鹰	  
痈	  
瘵	  
将	  
赣	  
凂	  
痪	  
瘤	  
疯	  
飒	  
亢	  
亮	  
充	  
庀	  
方	  
疕	  
竟	  
麂	  
癣	  
韵	  
廨	  
次	  
欬	  
歆	  
竘	  
凋	  
瓤	  
彦	  
彰	  
新	  
瘢	  
瓣	  
廉	  
粢	  
糜	  
麋	  
庠	  
痒	  
瘥	  
瘅	  
麟	  
痰	  
辨	  
瘘	  
疢	  
廓	  
痃	  
装	  
疰	  
麈	  
凛	  
廪	  
旈	  
亵	  
旁	  
麤	  
癔	  
痎	  
瘀	  
瘁	  
瘠	  
瘖	  
瘴	  
㾦	  
凉	  
挛	  
摩	  
廊	  
忘	  
恋	  
恣	  
意	  
憝	  
戆	  
庐	  
辩	  
斓	  
痫	  
废	  
疲	  
妄	  
妆	  
妾	  
姿	  
娈	  
疡	  
劾	  
勍	  
痂	  
韶	  
疮	  
瘊	  
於	  
卒	  
府	  
疥	  
夜	  
褒	  
疹	  
准	  
冷	  
饔	  
亥	  
疭	  
庥	  
座	  
痤	  
蠃	  
赢	  
羸	  
嬴	  
肓	  
育	  
脊	  
膂	  
膏	  
膺	  
迒	  
这	  
迹	  
遮	  
疸	  
章	  
瘟	  
竭	  
音	  
痨	  
瘩	  
瘼	  
冰	  
浆	  
痧	  
靡	  
凇	  
亲	  
床	  
栾	  
桨	  
麻	  
享	  
襄	  
癌	  
况	  
哀	  
竞	  
裛	  
亨	  
吝	  
咨	  
啻	  
高	  
京	  
銮	  
鏖	  
痔	  
凌	  
庱	  
讟	  
痣	  
堃	  
塾	  
壅	  
壮	  
庄	  
瘗	  
痟	  
癥	  
祃	  
綮	  
祲	  
袂	  
裉	  
诀	  
肇	  
讯	  
祀	  
记	  
裾	  
禄	  
祠	  
裙	  
襁	  
词	  
祁	  
邲	  
郎	  
郓	  
诎	  
祂	  
衪	  
扇	  
祤	  
翩	  
裰	  
诩	  
衩	  
译	  
诵	  
谲	  
褶	  
诶	  
谬	  
诒	  
戽	  
谊	  
诧	  
之	  
农	  
必	  
永	  
良	  
诫	  
试	  
福	  
户	  
礼	  
祆	  
袜	  
诔	  
祎	  
罕	  
讦	  
讲	  
讳	  
禊	  
冠	  
祷	  
诪	  
裱	  
请	  
祓	  
冢	  
戾	  
诚	  
诼	  
袴	  
褥	  
诙	  
祐	  
写	  
讶	  
军	  
讵	  
诓	  
谐	  
讴	  
裢	  
谮	  
评	  
襦	  
诹	  
读	  
衬	  
讨	  
谏	  
讧	  
证	  
谌	  
谳	  
计	  
订	  
谨	  
祺	  
禛	  
诬	  
褚	  
诸	  
谭	  
谋	  
谍	  
祜	  
诂	  
诃	  
语	  
禋	  
祉	  
让	  
谑	  
扉	  
诽	  
祯	  
褙	  
扂	  
禤	  
祼	  
衲	  
裸	  
讷	  
课	  
祖	  
袖	  
诅	  
冚	  
扁	  
神	  
讪	  
谡	  
视	  
谓	  
谴	  
扃	  
诇	  
补	  
讣	  
褴	  
诞	  
谀	  
训	  
裨	  
谢	  
诲	  
袄	  
诛	  
祚	  
衽	  
诈	  
许	  
讫	  
讬	  
诜	  
诱	  
诿	  
话	  
诰	  
讻	  
讼	  
谖	  
谣	  
祧	  
裕	  
诡	  
袍	  
诌	  
诤	  
祋	  
设	  
谗	  
冤	  
祗	  
诋	  
鸩	  
鹤	  
祇	  
诳	  
谄	  
祹	  
讽	  
冗	  
讥	  
襜	  
谵	  
询	  
诣	  
袼	  
调	  
祢	  
诉	  
衫	  
祈	  
褫	  
诟	  
禚	  
议	  
谦	  
祥	  
袢	  
详	  
禅	  
谥	  
谈	  
褛	  
谫	  
襚	  
谜	  
谱	  
说	  
禟	  
扆	  
隺	  
裤	  
褯	  
谛	  
谪	  
房	  
访	  
谚	  
谤	  
该	  
谇	  
谙	  
禳	  
谅	  
谆	  
谘	  
心	  
祕	  
裈	  
诨	  
褊	  
谝	  
谧	  
谰	  
裥	  
皲	  
被	  
讱	  
初	  
礽	  
诏	  
裣	  
谯	  
诠	  
袱	  
谶	  
讹	  
论	  
诊	  
谁	  
雇	  
衿	  
谂	  
认	  
谕	  
袷	  
褓	  
朗	  
肩	  
褪	  
遍	  
褟	  
袒	  
幂	  
禔	  
谩	  
裼	  
褐	  
谒	  
冥	  
昶	  
诺	  
谎	  
褡	  
谟	  
襟	  
冧	  
棨	  
襻	  
扈	  
裎	  
误	  
谔	  
祸	  
识	  
祝	  
启	  
祛	  
诗	  
褂	  
祾	  
禧	  
诘	  
社	  
诖	  
裆	  
谠	  
诮	  
闯	  
阚	  
阕	  
闩	  
阈	  
门	  
闫	  
闰	  
闱	  
闳	  
阉	  
闼	  
阑	  
闻	  
闭	  
阗	  
闿	  
闽	  
闸	  
阒	  
阃	  
阋	  
阌	  
鹇	  
阄	  
阎	  
阍	  
阁	  
阐	  
阙	  
阅	  
闵	  
訚	  
闹	  
闶	  
阂	  
阏	  
闷	  
阆	  
阀	  
闪	  
阘	  
间	  
阊	  
阔	  
闲	  
问	  
闾	  
阖	  
闺	  
姆	  
妈	  
驽	  
驾	  
絮	  
嫋	  
娜	  
妇	  
妃	  
弩	  
娓	  
妮	  
邵	  
好	  
妞	  
孕	  
孥	  
她	  
婀	  
媚	  
媸	  
婿	  
奴	  
皮	  
发	  
妤	  
姒	  
嫪	  
始	  
嫁	  
婠	  
婶	  
嫔	  
姹	  
婉	  
刃	  
办	  
飞	  
女	  
娀	  
婳	  
姮	  
妘	  
妹	  
奸	  
妍	  
皯	  
妩	  
媾	  
妧	  
婊	  
婧	  
妭	  
娠	  
婍	  
颇	  
嫄	  
嫽	  
姨	  
婕	  
戤	  
娆	  
妪	  
妣	  
孀	  
妓	  
姃	  
娅	  
姬	  
嫖	  
嫣	  
嫱	  
嫩	  
姥	  
媒	  
哿	  
姑	  
嬿	  
婌	  
嫭	  
嫘	  
鼐	  
妯	  
姐	  
娌	  
盈	  
奾	  
帑	  
姻	  
娉	  
媺	  
勰	  
胬	  
贺	  
嬛	  
嫂	  
媲	  
婢	  
媳	  
妖	  
姝	  
娥	  
妊	  
姓	  
娇	  
媛	  
嫒	  
媱	  
姚	  
姽	  
皰	  
妁	  
姗	  
姊	  
娩	  
婚	  
姁	  
婤	  
妳	  
妡	  
姤	  
婘	  
娣	  
妫	  
嫌	  
姘	  
媄	  
婵	  
袈	  
婷	  
嫡	  
嬗	  
嫉	  
姣	  
妨	  
嬷	  
嫜	  
嫲	  
婄	  
婛	  
孃	  
娘	  
忍	  
怒	  
恕	  
妒	  
娴	  
乃	  
刀	  
力	  
努	  
劭	  
奶	  
孅	  
姙	  
妗	  
姈	  
姶	  
边	  
迢	  
迦	  
妲	  
媞	  
媪	  
娼	  
婼	  
媖	  
嫫	  
架	  
娱	  
娲	  
娟	  
加	  
召	  
如	  
姞	  
嬉	  
娃	  
妙	  
嫦	  
尕	  
仓	  
假	  
倔	  
侵	  
健	  
佷	  
伊	  
佛	  
偓	  
倨	  
僎	  
侯	  
候	  
伲	  
僻	  
伺	  
邻	  
郃	  
郐	  
鄃	  
仔	  
他	  
仅	  
叙	  
翎	  
翕	  
舒	  
俑	  
侔	  
俟	  
俊	  
似	  
傩	  
僇	  
焦	  
伫	  
佥	  
倧	  
佇	  
倥	  
斜	  
倌	  
傧	  
侘	  
佗	  
俕	  
丛	  
俪	  
僵	  
个	  
亿	  
傃	  
会	  
伕	  
传	  
佅	  
余	  
仨	  
全	  
伟	  
仁	  
俸	  
俦	  
债	  
傲	  
佞	  
倩	  
傣	  
舍	  
佘	  
仗	  
伏	  
伓	  
优	  
龛	  
伾	  
偭	  
弇	  
侉	  
佐	  
倚	  
倴	  
傉	  
俺	  
领	  
颌	  
颔	  
例	  
侑	  
佰	  
僚	  
佑	  
偃	  
代	  
伐	  
佤	  
戗	  
瓴	  
伢	  
侥	  
倾	  
倒	  
偕	  
伛	  
仳	  
僭	  
侄	  
侠	  
俫	  
儒	  
倻	  
伎	  
付	  
使	  
便	  
俅	  
俩	  
仝	  
伍	  
体	  
佴	  
耸	  
俨	  
什	  
仃	  
傅	  
华	  
隼	  
值	  
偾	  
做	  
供	  
佬	  
僳	  
借	  
傈	  
估	  
何	  
俶	  
佧	  
企	  
韱	  
俳	  
侦	  
倬	  
黛	  
倮	  
偶	  
佀	  
佃	  
侗	  
俎	  
俚	  
畲	  
盒	  
仙	  
仲	  
伸	  
岱	  
俜	  
偎	  
儡	  
侧	  
俱	  
觎	  
催	  
货	  
贪	  
贷	  
赁	  
儇	  
仆	  
创	  
刽	  
剉	  
剑	  
劁	  
傀	  
伯	  
俾	  
介	  
傻	  
倪	  
侮	  
俬	  
伥	  
佚	  
侏	  
俄	  
攸	  
敛	  
龢	  
任	  
作	  
仟	  
仵	  
件	  
牮	  
仡	  
毹	  
俐	  
侨	  
儛	  
伤	  
倭	  
佸	  
傒	  
俘	  
伀	  
份	  
佻	  
佾	  
俗	  
佹	  
仰	  
翛	  
佟	  
仫	  
伋	  
低	  
像	  
鸧	  
鸺	  
鸽	  
鹪	  
佣	  
傺	  
倏	  
佩	  
俛	  
仇	  
仉	  
仑	  
侈	  
凭	  
化	  
修	  
儋	  
偬	  
歙	  
脩	  
佝	  
倜	  
你	  
倦	  
仪	  
伪	  
伞	  
伴	  
佯	  
傞	  
僔	  
倓	  
偻	  
伙	  
煲	  
僧	  
儦	  
依	  
衾	  
袋	  
位	  
住	  
隹	  
信	  
僦	  
停	  
僮	  
禽	  
侪	  
侂	  
倣	  
佼	  
仿	  
伉	  
佽	  
傍	  
俯	  
倍	  
倞	  
偯	  
儴	  
令	  
侬	  
念	  
怂	  
恁	  
悠	  
您	  
愈	  
食	  
储	  
偏	  
傕	  
今	  
雠	  
们	  
仞	  
仂	  
仍	  
隽	  
伽	  
伧	  
俭	  
僬	  
侩	  
价	  
伦	  
伶	  
人	  
从	  
众	  
偷	  
俞	  
途	  
逾	  
但	  
偈	  
倡	  
偌	  
儆	  
氽	  
休	  
集	  
命	  
俣	  
促	  
龠	  
侃	  
保	  
侣	  
合	  
含	  
售	  
佉	  
侍	  
佶	  
僖	  
仕	  
佳	  
坐	  
垡	  
堡	  
偿	  
倘	  
傥	  
俏	  
拿	  
腱	  
腒	  
腿	  
脲	  
膙	  
服	  
肥	  
肞	  
胫	  
胎	  
脘	  
腙	  
膣	  
腔	  
腚	  
膑	  
腕	  
胺	  
腻	  
脰	  
膈	  
肤	  
肝	  
肼	  
肟	  
腠	  
朊	  
腈	  
肱	  
肬	  
肽	  
胧	  
豚	  
胚	  
腼	  
胯	  
脤	  
腌	  
胨	  
胰	  
肫	  
臑	  
脖	  
肢	  
肘	  
脯	  
肛	  
肺	  
膘	  
膊	  
腩	  
䐜	  
腰	  
腊	  
胪	  
胩	  
腓	  
肭	  
胴	  
肿	  
胂	  
胛	  
腘	  
胭	  
腨	  
䐃	  
腆	  
腮	  
刖	  
腴	  
脾	  
腺	  
胀	  
胙	  
胜	  
脷	  
腹	  
脬	  
脟	  
朓	  
脎	  
脆	  
胞	  
股	  
胝	  
鹏	  
胸	  
肌	  
肷	  
脂	  
朐	  
胳	  
胍	  
肜	  
腯	  
腾	  
脒	  
胖	  
朕	  
胼	  
膦	  
媵	  
滕	  
脱	  
膳	  
塍	  
臃	  
膻	  
脐	  
胶	  
脑	  
肪	  
肮	  
臁	  
膀	  
臆	  
胲	  
腋	  
腑	  
膪	  
脏	  
脉	  
脓	  
胁	  
肠	  
肋	  
脸	  
脍	  
胕	  
胗	  
腧	  
脞	  
月	  
朋	  
遯	  
胆	  
腽	  
腥	  
朦	  
膜	  
膝	  
腭	  
脶	  
臊	  
脚	  
胠	  
臌	  
膨	  
肚	  
胱	  
膛	  
暇	  
昵	  
暌	  
昪	  
晙	  
曜	  
煦	  
照	  
暄	  
曌	  
晼	  
晏	  
旦	  
昙	  
昊	  
昧	  
旺	  
旰	  
旱	  
韪	  
晴	  
昽	  
晟	  
晨	  
题	  
颢	  
昃	  
暸	  
戥	  
晓	  
昆	  
暱	  
最	  
时	  
昞	  
是	  
晡	  
暕	  
晒	  
早	  
朂	  
暑	  
暴	  
晤	  
曼	  
映	  
盟	  
量	  
曙	  
晪	  
显	  
剔	  
晌	  
晦	  
曛	  
星	  
昨	  
旿	  
昇	  
晧	  
暖	  
晞	  
暧	  
晁	  
昂	  
昴	  
鹍	  
鹖	  
易	  
晚	  
匙	  
旯	  
昀	  
曷	  
歇	  
昫	  
晷	  
影	  
昕	  
曦	  
炅	  
旻	  
昡	  
昱	  
旷	  
曈	  
暶	  
暾	  
暗	  
景	  
晾	  
曩	  
晕	  
昈	  
晖	  
暝	  
旸	  
昭	  
晔	  
晗	  
明	  
暹	  
遏	  
遢	  
曝	  
暍	  
日	  
昌	  
晶	  
曰	  
曚	  
晰	  
杲	  
晃	  
蓦	  
芗	  
莼	  
荭	  
荮	  
药	  
蕴	  
紧	  
萦	  
葭	  
蒻	  
荩	  
茛	  
萧	  
茀	  
茕	  
芎	  
芑	  
苠	  
荨	  
蔚	  
薜	  
菉	  
蘗	  
莙	  
节	  
菡	  
鄀	  
蒸	  
孽	  
茁	  
芤	  
芭	  
菰	  
萨	  
蔬	  
荫	  
荪	  
茅	  
葵	  
蓣	  
茎	  
苡	  
蓼	  
藋	  
苔	  
苎	  
萱	  
莞	  
蔻	  
菪	  
葖	  
苧	  
萣	  
菅	  
茓	  
蓉	  
菀	  
蓿	  
荑	  
荁	  
荬	  
艺	  
芸	  
芙	  
茉	  
莹	  
蒙	  
芋	  
苇	  
芜	  
蒜	  
葜	  
藉	  
藕	  
蓁	  
芫	  
菁	  
苊	  
茇	  
芣	  
茂	  
茏	  
荗	  
苤	  
葳	  
葴	  
萘	  
莽	  
葬	  
蓐	  
藏	  
薤	  
蒇	  
颟	  
蕤	  
蘷	  
蕨	  
苈	  
薞	  
荙	  
若	  
茬	  
芽	  
苣	  
荛	  
荜	  
蒈	  
芘	  
萋	  
莲	  
荚	  
莱	  
苹	  
薷	  
蕾	  
藿	  
荸	  
芰	  
莆	  
苯	  
苷	  
茜	  
茸	  
芾	  
葚	  
蔈	  
蔫	  
蕻	  
萳	  
蔷	  
萁	  
蔌	  
蕙	  
蘸	  
葫	  
著	  
蓍	  
蕈	  
苛	  
苦	  
菽	  
芷	  
菲	  
藘	  
茈	  
蘧	  
苫	  
芮	  
英	  
茧	  
菓	  
萤	  
苒	  
苗	  
苜	  
苴	  
茼	  
幕	  
茵	  
蔑	  
薨	  
甍	  
葨	  
薯	  
萜	  
瞢	  
蒉	  
菌	  
苋	  
萝	  
葸	  
蒽	  
蓇	  
苘	  
茴	  
蓝	  
劐	  
荆	  
蒯	  
葩	  
蒐	  
萸	  
蓖	  
萆	  
藠	  
蔸	  
薛	  
莓	  
蘩	  
莛	  
薰	  
敬	  
苌	  
茱	  
莪	  
董	  
芊	  
荦	  
莉	  
荞	  
萩	  
莠	  
萎	  
薙	  
藜	  
莩	  
蓊	  
蕃	  
藐	  
艾	  
芬	  
荽	  
菜	  
苑	  
苞	  
茆	  
茚	  
芟	  
薿	  
芃	  
芄	  
芍	  
芨	  
茋	  
菟	  
茑	  
莺	  
鹋	  
鹳	  
芴	  
芪	  
蔡	  
获	  
莸	  
葡	  
蓟	  
萏	  
萄	  
艽	  
荻	  
菊	  
藓	  
葱	  
薢	  
芡	  
蓬	  
荀	  
苟	  
茗	  
芹	  
糵	  
蒹	  
荓	  
虁	  
蔽	  
薮	  
蕲	  
菼	  
蒌	  
荧	  
蒴	  
蔊	  
蕹	  
蔀	  
蔗	  
藨	  
芠	  
苄	  
芒	  
警	  
蓭	  
蘑	  
莘	  
葶	  
蒂	  
蓄	  
蓑	  
蓠	  
荒	  
荠	  
蒺	  
蔟	  
茭	  
芳	  
茨	  
茺	  
蒋	  
薪	  
蘪	  
蒡	  
薏	  
荄	  
菸	  
萃	  
蘼	  
菩	  
蒿	  
蘘	  
薼	  
藦	  
惹	  
憼	  
芝	  
芯	  
莨	  
芦	  
蒄	  
荤	  
萹	  
蕊	  
蓢	  
蓂	  
蔼	  
蔺	  
苏	  
薅	  
菇	  
劳	  
募	  
艿	  
荔	  
苕	  
茄	  
茹	  
苍	  
荐	  
葰	  
莶	  
蕉	  
荃	  
荟	  
荼	  
茯	  
苻	  
荷	  
茽	  
颧	  
芥	  
荏	  
莜	  
蔹	  
花	  
莅	  
萑	  
蓓	  
芩	  
苓	  
苁	  
茶	  
